Co,County Name,District,District Name,ce2019-20,p2024-25
40,Hamilton,6246,Stratford,137.9,128.5
40,Hamilton,6867,Webster City,1773.3,1773.0
41,Hancock,819,West Hancock,561.5,562.2
41,Hancock,2403,Garner-Hayfield-Ventura,846.8,836.3
42,Hardin,9,AGWSR,645.2,643.3
42,Hardin,108,Alden,264.4,246.5
42,Hardin,2007,Eldora-New Providence,604.2,632.7
42,Hardin,3033,Hubbard-Radcliffe,419.6,382.4
42,Hardin,3150,Iowa Falls,1040.1,1020.1
43,Harrison,1917,Boyer Valley,401.3,372.5
43,Harrison,3798,Logan-Magnolia,572.1,599.9
43,Harrison,4356,Missouri Valley,803.5,770.8
43,Harrison,6969,West Harrison,322.6,348.6
43,Harrison,7092,Woodbine,454.1,454.9
44,Henry,4536,Mount Pleasant,1902.8,1865.3
44,Henry,4689,New London,494.1,502.6
44,Henry,6700,Waco,489.8,513.5
44,Henry,7047,Winfield-Mt Union,308.1,274.1
45,Howard,3029,Howard-Winneshiek,1132.8,1021.1
45,Howard,5508,Riceville,326.8,372.5
46,Humboldt,2493,Gilmore City-Bradgate,163.0,152.0
46,Humboldt,3060,Humboldt,1249.7,1303.1
46,Humboldt,6516,Twin Rivers,150.0,139.8
47,Ida,2376,Galva-Holstein,454.0,444.0
47,Ida,4860,Odebolt Arthur Battle Creek Ida Grove,994.8,934.6
48,Iowa,2097,English Valleys,474.7,502.6
48,Iowa,2766,H-L-V,343.7,357.6
48,Iowa,3154,Iowa Valley,532.5,490.7
48,Iowa,7029,Williamsburg,1138.4,1112.4
49,Jackson,243,Andrew,234.3,218.4
49,Jackson,585,Bellevue,600.1,589.0
49,Jackson,1965,Easton Valley,577.8,504.6
49,Jackson,4041,Maquoketa,1260.8,1193.9
50,Jasper,513,Baxter,323.1,299.0
50,Jasper,1332,Colfax-Mingo,763.8,753.9
50,Jasper,3906,Lynnville-Sully,452.5,453.9
50,Jasper,4725,Newton,2996.5,2979.8
50,Jasper,5160,PCM,1063.4,1053.8
51,Jefferson,2169,Fairfield,1607.5,1500.8
51,Jefferson,5163,Pekin,610.5,574.1
52,Johnson,1221,Clear Creek Amana,2488.7,3174.4
52,Johnson,3141,Iowa City,14571.6,14945.4
52,Johnson,3816,Lone Tree,368.8,370.5
52,Johnson,6093,Solon,1395.9,1460.1
53,Jones,234,Anamosa,1298.2,1307.1
53,Jones,4269,Midland,520.2,466.8
53,Jones,4446,Monticello,953.8,790.6
53,Jones,4905,Olin Consolidated,225.0,209.8
54,Keokuk,3330,Keota,356.7,346.6
54,Keokuk,6012,Sigourney,552.0,564.2
54,Keokuk,6462,Tri-County,280.8,261.8
55,Kossuth,126,Algona,1295.6,1301.2
55,Kossuth,3897,LuVerne,146.1,136.2
55,Kossuth,4778,North Kossuth,272.1,253.7
56,Lee,1079,Central Lee,760.0,707.2
56,Lee,2322,Fort Madison,2092.8,1989.5
56,Lee,3312,Keokuk,1918.7,1913.3
57,Linn,99,Alburnett,511.8,502.6
57,Linn,1053,Cedar Rapids,16851.5,16541.6
57,Linn,1062,Center Point-Urbana,1346.6,1289.2
57,Linn,1089,Central City,461.9,394.3
57,Linn,1337,College,5194.1,5113.3
57,Linn,3715,Linn-Mar,7675.5,8217.2
57,Linn,3744,Lisbon,638.4,632.7
57,Linn,4086,Marion Independent,1911.0,1919.0
57,Linn,4554,Mount Vernon,1108.3,1028.0
57,Linn,4777,North Linn,600.4,526.4
57,Linn,6138,Springville,384.4,383.3
58,Louisa,1368,Columbus,762.7,708.2
58,Louisa,3841,Louisa-Muscatine,712.0,682.4
58,Louisa,4509,Morning Sun,209.0,194.9
58,Louisa,6759,Wapello,573.0,575.1
59,Lucas,1107,Chariton,1255.9,1352.8
60,Lyon,1095,Central Lyon,756.7,708.2
60,Lyon,2457,George-Little Rock,418.1,373.5
