DateTime,Scheduled flights,Tracked flights,Percent,,,,,,,
2021-08-20,67.00,63.00,94.0%,,,,,,,
2021-08-21,64.00,61.00,95.3%,,,,,,,
2021-08-22,67.00,63.00,94.0%,,,,,,,
2021-08-23,67.00,67.00,100.0%,,,,,,,
2021-08-24,74.00,65.00,87.8%,,,,,,,
2021-08-25,67.00,64.00,95.5%,,,,,,,
2021-08-26,73.00,70.00,95.9%,,,,,,,
2021-08-27,63.00,61.00,96.8%,,,,,,,
2021-08-28,61.00,58.00,95.1%,,,,,,,
2021-08-29,65.00,64.00,98.5%,,,,,,,
2021-08-30,77.00,69.00,89.6%,,,,,,,
2021-08-31,69.00,67.00,97.1%,,,,,,,
2021-09-01,73.00,66.00,90.4%,,,,,,,
2021-09-02,80.00,74.00,92.5%,,,,,,,
2021-09-03,71.00,70.00,98.6%,,,,,,,
2021-09-04,53.00,50.00,94.3%,,,,,,,
2021-09-05,49.00,47.00,95.9%,,,,,,,
2021-09-06,58.00,52.00,89.7%,,,,,,,
2021-09-07,63.00,59.00,93.7%,,,,,,,
2021-09-08,69.00,62.00,89.9%,,,,,,,
2021-09-09,86.00,85.00,98.8%,,,,,,,
2021-09-10,79.00,75.00,94.9%,,,,,,,
2021-09-11,56.00,54.00,96.4%,,,,,,,
2021-09-12,65.00,63.00,96.9%,,,,,,,
2021-09-13,73.00,71.00,97.3%,,,,,,,
2021-09-14,69.00,64.00,92.8%,,,,,,,
2021-09-15,76.00,72.00,94.7%,,,,,,,
2021-09-16,86.00,81.00,94.2%,,,,,,,
2021-09-17,86.00,83.00,96.5%,,,,,,,
2021-09-18,63.00,61.00,96.8%,,,,,,,
2021-09-19,78.00,71.00,91.0%,,,,,,,
2021-09-20,74.00,71.00,95.9%,,,,,,,
2021-09-21,66.00,62.00,93.9%,,,,,,,
2021-09-22,72.00,69.00,95.8%,,,,,,,
2021-09-23,80.00,76.00,95.0%,,,,,,,
2021-09-24,81.00,77.00,95.1%,,,,,,,
2021-09-25,62.00,60.00,96.8%,,,,,,,
2021-09-26,62.00,61.00,98.4%,,,,,,,
2021-09-27,71.00,71.00,100.0%,,,,,,,
2021-09-28,63.00,62.00,98.4%,,,,,,,
2021-09-29,59.00,58.00,98.3%,,,,,,,
2021-09-30,88.00,84.00,95.5%,,,,,,,
2021-10-01,85.00,79.00,92.9%,,,,,,,
2021-10-02,63.00,60.00,95.2%,,,,,,,
2021-10-03,60.00,59.00,98.3%,,,,,,,
2021-10-04,68.00,68.00,100.0%,,,,,,,
2021-10-05,66.00,65.00,98.5%,,,,,,,
2021-10-06,67.00,66.00,98.5%,,,,,,,
2021-10-07,76.00,71.00,93.4%,,,,,,,
2021-10-08,76.00,70.00,92.1%,,,,,,,
2021-10-09,63.00,60.00,95.2%,,,,,,,
2021-10-10,67.00,61.00,91.0%,,,,,,,
2021-10-11,66.00,61.00,92.4%,,,,,,,
2021-10-12,65.00,61.00,93.8%,,,,,,,
2021-10-13,61.00,58.00,95.1%,,,,,,,
2021-10-14,74.00,70.00,94.6%,,,,,,,
2021-10-15,69.00,68.00,98.6%,,,,,,,
2021-10-16,57.00,55.00,96.5%,,,,,,,
2021-10-17,60.00,57.00,95.0%,,,,,,,
2021-10-18,80.00,77.00,96.3%,,,,,,,
2021-10-19,81.00,75.00,92.6%,,,,,,,
2021-10-20,77.00,70.00,90.9%,,,,,,,
2021-10-21,76.00,68.00,89.5%,,,,,,,
2021-10-22,89.00,75.00,84.3%,,,,,,,
2021-10-23,61.00,59.00,96.7%,,,,,,,
2021-10-24,67.00,62.00,92.5%,,,,,,,
2021-10-25,78.00,71.00,91.0%,,,,,,,
2021-10-26,73.00,68.00,93.2%,,,,,,,
2021-10-27,64.00,62.00,96.9%,,,,,,,
2021-10-28,69.00,65.00,94.2%,,,,,,,
2021-10-29,82.00,76.00,92.7%,,,,,,,
2021-10-30,59.00,57.00,96.6%,,,,,,,
2021-10-31,48.00,47.00,97.9%,,,,,,,
2021-11-01,69.00,63.00,91.3%,,,,,,,
2021-11-02,68.00,64.00,94.1%,,,,,,,
2021-11-03,61.00,54.00,88.5%,,,,,,,
2021-11-04,78.00,73.00,93.6%,,,,,,,
2021-11-05,75.00,72.00,96.0%,,,,,,,
2021-11-06,59.00,57.00,96.6%,,,,,,,
2021-11-07,61.00,57.00,93.4%,,,,,,,
2021-11-08,67.00,65.00,97.0%,,,,,,,
2021-11-09,65.00,64.00,98.5%,,,,,,,
2021-11-10,71.00,66.00,93.0%,,,,,,,
2021-11-11,84.00,78.00,92.9%,,,,,,,
2021-11-12,81.00,72.00,88.9%,,,,,,,
2021-11-13,63.00,60.00,95.2%,,,,,,,
2021-11-14,60.00,59.00,98.3%,,,,,,,
2021-11-15,64.00,61.00,95.3%,,,,,,,
2021-11-16,70.00,66.00,94.3%,,,,,,,
2021-11-17,62.00,62.00,100.0%,,,,,,,
2021-11-18,76.00,73.00,96.1%,,,,,,,
2021-11-19,80.00,78.00,97.5%,,,,,,,
2021-11-20,62.00,61.00,98.4%,,,,,,,
2021-11-21,57.00,53.00,93.0%,,,,,,,
2021-11-22,68.00,66.00,97.1%,,,,,,,
2021-11-23,71.00,70.00,98.6%,,,,,,,
2021-11-24,65.00,62.00,95.4%,,,,,,,
2021-11-25,41.00,39.00,95.1%,,,,,,,
2021-11-26,49.00,46.00,93.9%,,,,,,,
2021-11-27,58.00,56.00,96.6%,,,,,,,
2021-11-28,55.00,51.00,92.7%,,,,,,,
2021-11-29,74.00,73.00,98.6%,,,,,,,
2021-11-30,70.00,66.00,94.3%,,,,,,,
2021-12-01,65.00,65.00,100.0%,,,,,,,
2021-12-02,77.00,75.00,97.4%,,,,,,,
