LOCATION,Date,TIME,FLIGHT,FROM,AIRLINE,AIRCRAFT,STATUS
AFW,"Sunday, November 28, 2021",2:33 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:22 AM
DEN,"Sunday, November 28, 2021",2:51 AM,UA2341,Denver (DEN),United Airlines,B739 (N39475),Landed 2:52 AM
EST,"Sunday, November 28, 2021",8:59 AM,,Estherville (EST),Frontier,PA34 (N1039U),Canceled
ORD,"Sunday, November 28, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N670AE),Landed 10:16 AM
DTW,"Sunday, November 28, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N296PQ),Landed 9:48 AM
ORD,"Sunday, November 28, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N461AW),Landed 10:24 AM
ATL,"Sunday, November 28, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N980AT),Landed 10:53 AM
DFW,"Sunday, November 28, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N706SK),Landed 11:32 AM
MSP,"Sunday, November 28, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75S (N607CZ),Landed 11:25 AM
LGA,"Sunday, November 28, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N918XJ),Landed 1:13 PM
DEN,"Sunday, November 28, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N463SW),Landed 12:44 PM
CLT,"Sunday, November 28, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N600NN),Landed 12:48 PM
PHX,"Sunday, November 28, 2021",1:45 PM,WN714,Phoenix (PHX),Southwest Airlines,B738 (N8652B),Landed 1:31 PM
ORD,"Sunday, November 28, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N89317),Landed 2:54 PM
PHX,"Sunday, November 28, 2021",2:14 PM,AA2592,Phoenix (PHX),American Airlines,A319 (N816AW),Landed 2:16 PM
ORD,"Sunday, November 28, 2021",2:23 PM,AA3076,Chicago (ORD),American Eagle,CRJ7 (N631SK),Landed 2:15 PM
IAH,"Sunday, November 28, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N88330),Landed 2:40 PM
FLL,"Sunday, November 28, 2021",2:37 PM,G4813,Fort Lauderdale (FLL),Allegiant Air,A320 (N257NV),Landed 2:50 PM
LAX,"Sunday, November 28, 2021",2:40 PM,G4842,Los Angeles (LAX),Allegiant Air,A320 (N247NV),Landed 2:33 PM
SPW,"Sunday, November 28, 2021",3:18 PM,,Spencer (SPW),Frontier,PA46 (N774DM),Landed 3:15 PM
PGD,"Sunday, November 28, 2021",3:31 PM,G4857,Punta Gorda (PGD),Allegiant Air,A320 (N284NV),Landed 4:02 PM
LAS,"Sunday, November 28, 2021",3:59 PM,F91958,Las Vegas (LAS),Frontier,A20N (N352FR),Landed 3:44 PM
ATL,"Sunday, November 28, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N944AT),Landed 3:46 PM
SDF,"Sunday, November 28, 2021",4:09 PM,5X514,Louisville (SDF),UPS,B763 (N368UP),Landed 4:10 PM
DEN,"Sunday, November 28, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A320 (N497UA),Landed 4:18 PM
ORD,"Sunday, November 28, 2021",4:39 PM,AA3128,Chicago (ORD),SkyWest Airlines,CRJ7 (N604SK),Landed 4:13 PM
DFW,"Sunday, November 28, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N776XF),Landed 4:38 PM
DTW,"Sunday, November 28, 2021",4:45 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N390CA),Landed 4:15 PM
SLC,"Sunday, November 28, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N258SY),Landed 4:54 PM
MSP,"Sunday, November 28, 2021",5:09 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ9 (N313PQ),Landed 4:44 PM
DCA,"Sunday, November 28, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N608NN),Landed 5:12 PM
LAS,"Sunday, November 28, 2021",5:40 PM,WN2562,Las Vegas (LAS),Southwest Airlines,B737 (N209WN),Landed 7:07 PM
OJC,"Sunday, November 28, 2021",5:47 PM,,Kansas City (OJC),Frontier,BE36 (N7287R),Landed 4:56 PM
DEN,"Sunday, November 28, 2021",6:30 PM,WN497,Denver (DEN),Southwest Airlines,B737 (N717SA),Landed 6:57 PM
DFW,"Sunday, November 28, 2021",6:48 PM,AA4055,Dallas (DFW),American Eagle,E75L (N272NN),Landed 6:36 PM
DEN,"Sunday, November 28, 2021",7:00 PM,F9470,Denver (DEN),Frontier,A20N (N353FR),Landed 6:43 PM
ATL,"Sunday, November 28, 2021",7:14 PM,DL5334,Atlanta (ATL),Delta Connection,CRJ9 (N310PQ),Landed 7:20 PM
MEM,"Sunday, November 28, 2021",7:20 PM,FX534,Memphis (MEM),FedEx,A306 (N690FE),Landed 7:16 PM
TRM,"Sunday, November 28, 2021",7:41 PM,,Thermal (TRM),Frontier,PC12 (N698NG),Landed 8:14 PM
DEN,"Sunday, November 28, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N1902U),Landed 7:47 PM
LGA,"Sunday, November 28, 2021",8:18 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N918XJ),Landed 8:06 PM
MSP,"Sunday, November 28, 2021",8:47 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N914XJ),Landed 8:22 PM
ORD,"Sunday, November 28, 2021",9:08 PM,UA1945,Chicago (ORD),United Airlines,B739 (N39463),Landed 8:49 PM
DCA,"Sunday, November 28, 2021",9:49 PM,AA5632,Washington (DCA),American Eagle,CRJ9 (N576NN),Landed 1:08 AM
DTW,"Sunday, November 28, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N390CA),Landed 9:36 PM
PIE,"Sunday, November 28, 2021",9:57 PM,G4844,St. Petersburg (PIE),Allegiant Air,A320 (N257NV),Landed 9:56 PM
LAS,"Sunday, November 28, 2021",10:08 PM,G4807,Las Vegas (LAS),Allegiant Air,A320 (N247NV),Landed 10:05 PM
IAH,"Sunday, November 28, 2021",10:22 PM,UA6125,Houston (IAH),United Express,E75L (N84378),Landed 11:19 PM
ORD,"Sunday, November 28, 2021",10:23 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N751SK),Landed 9:50 PM
ATL,"Sunday, November 28, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N995AT),Landed 10:24 PM
STL,"Sunday, November 28, 2021",10:40 PM,WN1198,St. Louis (STL),Southwest Airlines,B738 (N8645A),Landed 10:37 PM
MIA,"Sunday, November 28, 2021",10:50 PM,AA3558,Miami (MIA),American Eagle,E75L (N271NN),Landed 10:48 PM
DFW,"Sunday, November 28, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N827AW),Landed 11:06 PM
SFB,"Sunday, November 28, 2021",11:08 PM,G4853,Orlando (SFB),Allegiant Air,A320 (N284NV),Landed 12:16 AM
PHX,"Sunday, November 28, 2021",11:53 PM,AA568,Phoenix (PHX),American Airlines,A320 (N124US),Landed 11:42 PM
CLT,"Sunday, November 28, 2021",11:54 PM,AA1152,Charlotte (CLT),American Airlines,A319 (N751UW),Landed 11:41 PM
DEN,"Monday, November 29, 2021",2:51 AM,UA2341,Denver (DEN),United Airlines,B739 (N67815),Landed 2:48 AM
AFW,"Monday, November 29, 2021",3:11 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N919AZ),Landed 2:58 AM
BRL,"Monday, November 29, 2021",9:02 AM,,Burlington (BRL),Frontier,BE55 (N2367P),Landed 9:18 AM
ORD,"Monday, November 29, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N918AE),Landed 9:48 AM
DTW,"Monday, November 29, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N602LR),Landed 9:30 AM
ORD,"Monday, November 29, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N430AW),Landed 10:31 AM
MKO,"Monday, November 29, 2021",10:49 AM,,Muskogee (MKO),Frontier,BE9L (N900CT),Landed 12:05 PM
ATL,"Monday, November 29, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N947AT),Landed 10:59 AM
FMS,"Monday, November 29, 2021",11:14 AM,,Fort Madison (FMS),Frontier,BE20 (N208BC),Landed 11:10 AM
MCO,"Monday, November 29, 2021",11:19 AM,F91067,Orlando (MCO),Frontier,A20N (N339FR),Landed 11:48 AM
DFW,"Monday, November 29, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N630SK),Landed 11:13 AM
MSP,"Monday, November 29, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N242SY),Landed 11:27 AM
LGA,"Monday, November 29, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N904XJ),Landed 12:28 PM
DEN,"Monday, November 29, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N463SW),Landed 12:39 PM
CLT,"Monday, November 29, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N578NN),Landed 12:47 PM
JBR,"Monday, November 29, 2021",1:14 PM,,Jonesboro (JBR),Frontier,BE9L (N827KB),Landed 1:31 PM
FOD,"Monday, November 29, 2021",1:29 PM,,Fort Dodge (FOD),Frontier,PC12 (N79CS),Landed 1:52 PM
TEB,"Monday, November 29, 2021",1:30 PM,,Teterboro (TEB),Frontier,BE33 (N5500F),Landed 1:17 PM
PHX,"Monday, November 29, 2021",1:45 PM,WN714,Phoenix (PHX),Southwest Airlines,B738 (N8564Z),Landed 1:35 PM
ORD,"Monday, November 29, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N80343),Landed 2:16 PM
PHX,"Monday, November 29, 2021",2:14 PM,AA2592,Phoenix (PHX),American Airlines,A319 (N746UW),Landed 3:00 PM
ORD,"Monday, November 29, 2021",2:23 PM,AA3076,Chicago (ORD),American Eagle,CRJ7 (N745SK),Landed 2:08 PM
IAH,"Monday, November 29, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N88346),Landed 2:57 PM
LAS,"Monday, November 29, 2021",2:38 PM,G4818,Las Vegas (LAS),Allegiant Air,A320 (N257NV),Landed 2:24 PM
MDW,"Monday, November 29, 2021",2:47 PM,WN8624,Chicago (MDW),Southwest Airlines,B737 (N733SA),Landed 3:02 PM
DEN,"Monday, November 29, 2021",3:04 PM,F9470,Denver (DEN),Frontier,A20N (N353FR),Landed 2:44 PM
BNA,"Monday, November 29, 2021",3:10 PM,G4576,Nashville (BNA),Allegiant Air,A319 (N305NV),Landed 2:54 PM
PGD,"Monday, November 29, 2021",3:29 PM,G4822,Punta Gorda (PGD),Allegiant Air,A320 (N247NV),Landed 10:39 PM
SFB,"Monday, November 29, 2021",3:56 PM,G4853,Orlando (SFB),Allegiant Air,A320 (N284NV),Landed 3:55 PM
ATL,"Monday, November 29, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N927AT),Landed 3:51 PM
SJD,"Monday, November 29, 2021",4:14 PM,LXJ454,San Jose del Cabo (SJD),Flexjet,GLF4 (N454FX),Landed 4:16 PM
DEN,"Monday, November 29, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A319 (N826UA),Landed 4:06 PM
ORD,"Monday, November 29, 2021",4:39 PM,AA3128,Chicago (ORD),American Eagle,E75L (N508SY),Landed 4:23 PM
DFW,"Monday, November 29, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N772XF),Landed 4:36 PM
FMS,"Monday, November 29, 2021",4:44 PM,,Fort Madison (FMS),Frontier,BE20 (N208BC),Landed 5:51 PM
DTW,"Monday, November 29, 2021",4:45 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N371CA),Landed 4:31 PM
SLC,"Monday, November 29, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75S (N607CZ),Landed 4:43 PM
SRQ,"Monday, November 29, 2021",5:04 PM,G42532,Sarasota (SRQ),Allegiant Air,A320 (N231NV),Landed 5:43 PM
DCA,"Monday, November 29, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N584NN),Landed 5:32 PM
LAS,"Monday, November 29, 2021",5:40 PM,WN2562,Las Vegas (LAS),Southwest Airlines,B38M (N8710M),Landed 5:26 PM
DEN,"Monday, November 29, 2021",6:30 PM,WN497,Denver (DEN),Southwest Airlines,B737 (N746SW),Landed 6:18 PM
DFW,"Monday, November 29, 2021",6:51 PM,AA3031,Dallas (DFW),SkyWest Airlines,CRJ7 (N870DC),Landed 6:46 PM
IAH,"Monday, November 29, 2021",7:22 PM,5X9756,Houston (IAH),UPS,B763 (N335UP),Landed 7:12 PM
DEN,"Monday, November 29, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N426UA),Landed 7:59 PM
LGA,"Monday, November 29, 2021",8:18 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N904XJ),Landed 9:18 PM
SUS,"Monday, November 29, 2021",8:18 PM,,St. Louis (SUS),Frontier,M600 (N968HL),Landed 8:03 PM
MSP,"Monday, November 29, 2021",8:47 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ7 (N390CA),Landed 8:17 PM
AXN,"Monday, November 29, 2021",8:53 PM,,Alexandria (AXN),Frontier,C425 (N74RF),Landed 8:52 PM
ORD,"Monday, November 29, 2021",9:18 PM,UA1945,Chicago (ORD),United Airlines,B739 (N68880),Landed 9:00 PM
DCA,"Monday, November 29, 2021",9:49 PM,AA5632,Washington (DCA),American Eagle,CRJ9 (N583NN),Landed 9:59 PM
DTW,"Monday, November 29, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ7 (N655CA),Landed 10:43 PM
AZA,"Monday, November 29, 2021",9:52 PM,G4811,Phoenix (AZA),Allegiant Air,A320 (N257NV),Landed 10:19 PM
ORD,"Monday, November 29, 2021",10:18 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N755EV),Landed 10:02 PM
IAH,"Monday, November 29, 2021",10:22 PM,UA6125,Houston (IAH),United Airlines,E75L (N87367),Landed 10:08 PM
ATL,"Monday, November 29, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N952AT),Landed 10:25 PM
STL,"Monday, November 29, 2021",10:40 PM,WN1198,St. Louis (STL),Southwest Airlines,B738 (N8672F),Landed 11:00 PM
MIA,"Monday, November 29, 2021",10:50 PM,AA3558,Miami (MIA),American Eagle,E75L (N298FR),Landed 10:55 PM
PIE,"Monday, November 29, 2021",10:55 PM,G4844,St. Petersburg (PIE),Allegiant Air,A320 (N284NV),Landed 10:54 PM
AZO,"Monday, November 29, 2021",10:56 PM,,Kalamazoo (AZO),Frontier,PC12 (N698NG),Landed 11:00 PM
DFW,"Monday, November 29, 2021",11:05 PM,AA1371,Dallas (DFW),American Airlines,A319 (N711UW),Landed 10:58 PM
PHX,"Monday, November 29, 2021",11:53 PM,AA568,Phoenix (PHX),American Airlines,A320 (N664AW),Landed 11:43 PM
CLT,"Monday, November 29, 2021",11:54 PM,AA1152,Charlotte (CLT),American Airlines,A319 (N802AW),Landed 11:36 PM
AFW,"Tuesday, November 30, 2021",2:16 AM,3M3901,Fort Worth (AFW),Amazon Air,AT75 (N967AZ),Landed 2:04 AM
CID,"Tuesday, November 30, 2021",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N368UP),Landed 6:19 AM
MEM,"Tuesday, November 30, 2021",6:51 AM,FX1500,Memphis (MEM),FedEx,A306 (N751FD),Landed 6:47 AM
CIN,"Tuesday, November 30, 2021",7:23 AM,,Carroll (CIN),Frontier,P28A (N285JA),Landed 7:21 AM
IAD,"Tuesday, November 30, 2021",9:04 AM,DPJ402,Washington (IAD),Delta Private Jets,BE4,Canceled
ORD,"Tuesday, November 30, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N694AE),Landed 9:21 AM
DTW,"Tuesday, November 30, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N137EV),Landed 9:59 AM
ORD,"Tuesday, November 30, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N414ZW),Landed 10:31 AM
RST,"Tuesday, November 30, 2021",10:51 AM,,Rochester (RST),Frontier,BE35 (N809T),Landed 11:20 AM
ATL,"Tuesday, November 30, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N946AT),Landed 10:56 AM
DFW,"Tuesday, November 30, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N632SK),Landed 11:06 AM
MSP,"Tuesday, November 30, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75L (N255SY),Landed 11:36 AM
MIE,"Tuesday, November 30, 2021",12:14 PM,,Muncie (MIE),Frontier,P46T (N889MA),Landed 12:24 PM
SUW,"Tuesday, November 30, 2021",12:34 PM,,Superior (SUW),Frontier,M600 (N968HL),Landed 12:12 PM
LGA,"Tuesday, November 30, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N916XJ),Landed 12:03 PM
DEN,"Tuesday, November 30, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N856AS),Landed 12:53 PM
CLT,"Tuesday, November 30, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N573NN),Landed 12:50 PM
DEN,"Tuesday, November 30, 2021",1:35 PM,WN1875,Denver (DEN),Southwest Airlines,B738 (N8608N),Landed 1:28 PM
EVM,"Tuesday, November 30, 2021",1:37 PM,,Eveleth (EVM),Frontier,SR22 (N1923P),Landed 1:33 PM
DEN,"Tuesday, November 30, 2021",1:57 PM,F9470,Denver (DEN),Frontier,A20N (N336FR),Landed 1:41 PM
ORD,"Tuesday, November 30, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N88331),Landed 1:55 PM
PHX,"Tuesday, November 30, 2021",2:14 PM,AA2592,Phoenix (PHX),American Airlines,A319 (N829AW),Landed 2:00 PM
ORD,"Tuesday, November 30, 2021",2:23 PM,AA3076,Chicago (ORD),American Eagle,CRJ7 (N754SK),Landed 2:05 PM
IAD,"Tuesday, November 30, 2021",2:25 PM,DPJ453,Washington (IAD),Private owner,BE40 (N453TM),Landed 2:50 PM
OWA,"Tuesday, November 30, 2021",2:27 PM,,Owatonna (OWA),Frontier,P32R (N132GT),Landed 2:16 PM
IAH,"Tuesday, November 30, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N87306),Landed 2:16 PM
IND,"Tuesday, November 30, 2021",3:43 PM,,Indianapolis (IND),Frontier,P28A (N20784),Landed 12:09 PM
LAS,"Tuesday, November 30, 2021",3:50 PM,WN264,Las Vegas (LAS),Southwest Airlines,B737 (N7744A),Landed 3:42 PM
ATL,"Tuesday, November 30, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N977AT),Landed 4:02 PM
DEN,"Tuesday, November 30, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A320 (N436UA),Landed 4:01 PM
ORD,"Tuesday, November 30, 2021",4:39 PM,AA3128,Chicago (ORD),American Eagle,CRJ7 (N763SK),Landed 4:24 PM
DFW,"Tuesday, November 30, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N817AW),Landed 4:17 PM
DTW,"Tuesday, November 30, 2021",4:45 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N398CA),Landed 4:20 PM
LBL,"Tuesday, November 30, 2021",4:53 PM,,Liberal (LBL),Frontier,P32R (N878BT),Landed 5:13 PM
SLC,"Tuesday, November 30, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N259SY),Landed 4:53 PM
DBQ,"Tuesday, November 30, 2021",5:14 PM,,Dubuque (DBQ),Frontier,C172 (N597D),Landed 5:09 PM
DCA,"Tuesday, November 30, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N603NN),Landed 5:46 PM
DFW,"Tuesday, November 30, 2021",6:46 PM,AA2801,Dallas (DFW),American Airlines,A319 (N810AW),Landed 6:22 PM
MEM,"Tuesday, November 30, 2021",6:57 PM,FX718,Memphis (MEM),FedEx,A306 (N654FE),Landed 6:46 PM
SPW,"Tuesday, November 30, 2021",7:14 PM,,Spencer (SPW),Frontier,PAY2 (N302TA),Landed 7:38 PM
SDF,"Tuesday, November 30, 2021",7:48 PM,5X9654,Louisville (SDF),UPS,B763 (N368UP),Landed 7:36 PM
DEN,"Tuesday, November 30, 2021",8:07 PM,UA465,Denver (DEN),United Airlines,A320 (N409UA),Landed 7:58 PM
LGA,"Tuesday, November 30, 2021",8:18 PM,DL5265,New York (LGA),Delta Connection,CRJ9 (N916XJ),Landed 7:43 PM
MSP,"Tuesday, November 30, 2021",8:47 PM,DL5230,Minneapolis (MSP),Delta Connection,CRJ9 (N314PQ),Landed 8:19 PM
MDW,"Tuesday, November 30, 2021",9:06 PM,GAJ841,Chicago (MDW),Wheels Up,B350 (N841UP),Landed 9:02 PM
ORD,"Tuesday, November 30, 2021",9:18 PM,UA1945,Chicago (ORD),United Airlines,B739 (N68823),Landed 8:57 PM
DTW,"Tuesday, November 30, 2021",9:51 PM,DL4883,Detroit (DTW),Delta Connection,CRJ9 (N319PQ),Landed 9:33 PM
ORD,"Tuesday, November 30, 2021",10:18 PM,AA3064,Chicago (ORD),American Eagle,CRJ7 (N772SK),Landed 9:59 PM
IAH,"Tuesday, November 30, 2021",10:22 PM,UA6125,Houston (IAH),United Express,E75L (N85370),Landed 1:59 AM
ATL,"Tuesday, November 30, 2021",10:30 PM,DL1699,Atlanta (ATL),Delta Air Lines,B712 (N989AT),Landed 10:19 PM
STL,"Tuesday, November 30, 2021",10:30 PM,WN3083,St. Louis (STL),Southwest Airlines,B38M (N8807L),Landed 10:57 PM
MIA,"Tuesday, November 30, 2021",10:50 PM,AA3558,Miami (MIA),American Eagle,E75L (N290NN),Landed 10:30 PM
IOW,"Tuesday, November 30, 2021",11:38 PM,,Iowa City (IOW),Frontier,PC12 (N698NG),Landed 4:19 PM
PHX,"Tuesday, November 30, 2021",11:53 PM,AA568,Phoenix (PHX),American Airlines,A320 (N107US),Landed 11:58 PM
CLT,"Tuesday, November 30, 2021",11:54 PM,AA1152,Charlotte (CLT),American Airlines,A319 (N770UW),Landed 11:52 PM
AFW,"Wednesday, December 1, 2021",2:11 AM,3M3901,Fort Worth (AFW),Silver Airways,AT75,Landed 2:11 AM
CID,"Wednesday, December 1, 2021",6:01 AM,5X514,Cedar Rapids (CID),UPS,B763 (N328UP),Landed 6:19 AM
MEM,"Wednesday, December 1, 2021",6:15 AM,FX1500,Memphis (MEM),FedEx,A306 (N665FE),Landed 6:57 AM
MIE,"Wednesday, December 1, 2021",8:32 AM,,Muncie (MIE),Frontier,TBM9 (N449MA),Landed 9:00 AM
PWK,"Wednesday, December 1, 2021",8:57 AM,,Chicago (PWK),Frontier,(N314GF),Landed 8:54 AM
EAR,"Wednesday, December 1, 2021",9:15 AM,,Kearney (EAR),Frontier,C425 (N10FZ),Landed 10:08 AM
ORD,"Wednesday, December 1, 2021",9:37 AM,AA3513,Chicago (ORD),American Eagle,E145 (N941LT),Landed 9:14 AM
DTW,"Wednesday, December 1, 2021",9:44 AM,DL5188,Detroit (DTW),Delta Connection,CRJ9 (N908XJ),Landed 9:12 AM
ARA,"Wednesday, December 1, 2021",10:18 AM,,New Iberia (ARA),Frontier,BE30 (N300MC),Landed 10:18 AM
ORD,"Wednesday, December 1, 2021",10:45 AM,UA3977,Chicago (ORD),United Express,CRJ2 (N449AW),Landed 10:24 AM
MCO,"Wednesday, December 1, 2021",10:52 AM,F91067,Orlando (MCO),Frontier,A320 (N232FR),Landed 10:48 AM
ATL,"Wednesday, December 1, 2021",11:04 AM,DL2867,Atlanta (ATL),Delta Air Lines,B712 (N970AT),Landed 10:44 AM
DFW,"Wednesday, December 1, 2021",11:31 AM,AA3181,Dallas (DFW),American Eagle,CRJ7 (N732SK),Landed 11:46 AM
MSP,"Wednesday, December 1, 2021",11:51 AM,DL3918,Minneapolis (MSP),Delta Connection,E75S (N610CZ),Landed 11:31 AM
SCF,"Wednesday, December 1, 2021",12:21 PM,,Scottsdale (SCF),Frontier,C700 (N233CL),Landed 12:16 PM
LGA,"Wednesday, December 1, 2021",12:46 PM,DL5133,New York (LGA),Delta Connection,CRJ9 (N479PX),Landed 12:06 PM
DEN,"Wednesday, December 1, 2021",12:53 PM,UA5254,Denver (DEN),United Express,CRJ2 (N809CA),Landed 12:28 PM
CLT,"Wednesday, December 1, 2021",1:05 PM,AA5168,Charlotte (CLT),American Eagle,CRJ9 (N607NN),Landed 12:40 PM
DFW,"Wednesday, December 1, 2021",1:55 PM,OO9897,Dallas (DFW),American Eagle,CRJ7 (N719EV),Landed 2:39 PM
DEN,"Wednesday, December 1, 2021",2:05 PM,WN4529,Denver (DEN),Southwest Airlines,B737 (N218WN),Landed 1:45 PM
ORD,"Wednesday, December 1, 2021",2:10 PM,UA6132,Chicago (ORD),United Express,E75L (N88301),Landed 1:42 PM
PHX,"Wednesday, December 1, 2021",2:14 PM,AA1972,Phoenix (PHX),American Airlines,A319 (N833AW),Landed 2:16 PM
ORD,"Wednesday, December 1, 2021",2:23 PM,AA4032,Chicago (ORD),American Eagle,E145 (N663AR),Landed 2:02 PM
IAH,"Wednesday, December 1, 2021",2:33 PM,UA6086,Houston (IAH),United Express,E75L (N89349),Landed 2:22 PM
LAS,"Wednesday, December 1, 2021",3:15 PM,WN320,Las Vegas (LAS),Southwest Airlines,B737 (N7867A),Landed 3:29 PM
ATL,"Wednesday, December 1, 2021",4:04 PM,DL1298,Atlanta (ATL),Delta Air Lines,B712 (N928AT),Landed 3:47 PM
DEN,"Wednesday, December 1, 2021",4:15 PM,UA405,Denver (DEN),United Airlines,A319 (N889UA),Landed 4:02 PM
ORD,"Wednesday, December 1, 2021",4:39 PM,AA3204,Chicago (ORD),American Eagle,CRJ7 (N761ND),Landed 4:21 PM
DFW,"Wednesday, December 1, 2021",4:42 PM,AA560,Dallas (DFW),American Airlines,A319 (N807AW),Landed 4:24 PM
DTW,"Wednesday, December 1, 2021",4:45 PM,DL4760,Detroit (DTW),Delta Connection,CRJ7 (N390CA),Landed 4:16 PM
SLC,"Wednesday, December 1, 2021",5:04 PM,DL3775,Salt Lake City (SLC),Delta Connection,E75L (N261SY),Landed 4:44 PM
MSP,"Wednesday, December 1, 2021",5:09 PM,DL5504,Minneapolis (MSP),Delta Connection,CRJ9 (N183GJ),Landed 4:53 PM
DCA,"Wednesday, December 1, 2021",5:28 PM,AA5278,Washington (DCA),American Eagle,CRJ9 (N605NN),Landed 5:22 PM
GCK,"Wednesday, December 1, 2021",6:08 PM,,Garden City (GCK),Frontier,PC12 (N79CS),Landed 6:09 PM
OJC,"Wednesday, December 1, 2021",6:35 PM,,Kansas City (OJC),Frontier,PA46 (N91902),Landed 6:16 PM
DFW,"Wednesday, December 1, 2021",6:51 PM,AA3031,Dallas (DFW),Delta Connection,CRJ7 (N713EV),Landed 6:36 PM
IOW,"Wednesday, December 1, 2021",6:51 PM,,Iowa City (IOW),Frontier,PA46 (N9253C),Landed 6:47 PM
MEM,"Wednesday, December 1, 2021",7:05 PM,FX718,Memphis (MEM),FedEx,A306 (N658FE),Landed 7:24 PM
